X,y
"Now, the Markets Can Worry About Other Things. Here’s a List.",-1
"In the report, Credit Suisse analysts pick their seven favorite stocks in the sector. .  however its valuation multiple is cheap, its discrete automation business is .",1
"The Fed’s newfound patience on raising interest rates is just what President Trump wanted. Its explanation, however, is unlikely to please him.",-1
Greece's Debt Crisis Sends Stocks Falling Around the Globe,-1
China poised to buy more U.S. soybeans: sources,1
U.S. Public Companies Rise Again,1
Instant View: Powell - Fed remains patient deciding on further hikes,1
Top ten cracker stocks to buy on 'Muhurat Trading' day,-1
"Given that consumption accounts for 70% of US economic activity, this is a major deflationary .  Which means this trend will cut down company earnings and, in turn, .  In 2016, the Tax Policy Center found that 37% of the US stock market was .",-1
E-cigarette maker Juul is raising $150 million after spinning out of .,1
"In a Sign of the Economy’s Strength, Jobs and Wages Moved Higher in August",-1
"Indeed, if there is a relationship, it is that economic growth and stock market returns .  Paul Marsh and Mike Staunton of the London Business School of 19 major .",1
"Stocks slumped on Wall Street, after markets in Europe were buffeted by .  of the research firm High Frequency Economics in Valhalla, N.Y., said the real test .",-1
"Netflix stock falls after subscriber losses, failed Qwikster spinoff worry .",-1
"There’s not a main reason for the sell-off, but a widening sense of unease that several types of problems are rising at once.",-1
Nor is there any empirical evidence that it makes the economy or the society better .  executives that are tied to the short-term performance of the company stock.,1
A shortage of rainfall has forced people to pay more for onions once again this year. Consumers aren't the only ones affected – farmers are getting a pittance for .,-1
Plans to build another privately-financed power station in Nigeria to help end decades of chronic blackouts have been delayed because of concerns about persistent shortfalls in payments for electricity across the sector.,-1
German carmakers to invest 60 billion euros in electric cars and automation: VDA,1
"The Economy Needs More Workers. Last Month, It Got Fewer.",-1
Another Climate Alarmist Admits Real Motive Behind Warming Scare,-1
"But, in recent years, the stock market has not mirrored the economy well. .  Similarly, in the GDP estimates for 2015-16, banking, finance and business services .",-1
Marriott Data Breach Is Traced to Chinese Hackers as U.S. Readies Crackdown on Beijing,-1
Some venture capitalists are rooting for a market dip to calm Silicon Valley’s overheated start-up scene.,-1
"Since taking office, President Trump has taken to Twitter to point to the rising stock market, strong jobs numbers and the health of the overall economy as signs of .",1
The Finnish steel manufacturer Outokumpu has access to mineral deposits that give it a clear advantage over U.S. makers. But Trump’s tariffs are raising prices for American customers.,-1
"China's steel mills may have taken a wrong turn by adding millions of tonnes of new high-end capacity just as the country's car sector, a key steel consumer, undergoes its first contraction in decades, cutting metal demand.",-1
"Bayer's management retains the backing of its supervisory board, its chief executive said, after pressure on the company increased when a second jury in the United States ruled its glyphosate-based Roundup weed killer caused cancer.",-1
The Most Important Least-Noticed Economic Event of the Decade,-1
Home prices are out of reach relative to incomes and mortgage rates. The big question for the economy is how the imbalance adjusts.,-1
How Recent Disasters Affected Markets and Economies,-1
U.S. disability rolls swell in a rough economy,-1
Plunging corporate tax revenues from the Trump tax cuts helped push the annual deficit to $779 billion. It is on track to reach $1 trillion by 2020.,-1
Strong Hiring and Fed Chief’s Reassurance on Rates Delight Investors,1
"US stocks down, world markets flat after Japanese stocks plummet",-1
World shares rise to fresh peak; oil gains,1
"For Canada, a Sigh of Relief More Than a Celebration in New Nafta Deal",-1
Housing Is Already in a Slump. So It (Probably) Can’t Cause a Recession.,1
"The company known by Trump's initials, DJT, crumbled into a penny stock and filed . . An improving national economy and an upturn in Atlantic City gambling .",1
"NEW YORK - Worries about economic growth prospects hit global stock markets on Friday, causing sharp price drops on both sides of the . ",-1
"Wall Street Baffled by Slowing Economy, Low Yields: Trader .  Stocks extended losses after the manufacturing fell below expectations in May and the private .",-1
Larry Kudlow: 'I don't think the underlying economy is slowing',1
"The biggest earthquake on record to hit Japan in 140 years sent stock .  and former director of the White House National Economic Council, told CNBC. .  Air Transport Association), companies saw about $1.7 billion of business lost from the .",-1
"In a drab year for stocks, the fantastic FANG Four made all the difference",1
Economists estimate Kosovo's economy must grow by 8 percent each year to absorb the young people entering the job market and hold unemployment steady.,1
"“Businesses have held back so far, but will begin to get on board. .  In May and June, stocks fell after Mr. Bernanke seemed to suggest the tapering could begin .",-1
"It does business only with current and former members of the military and their .  Fellow at the Peterson Institute for International Economics in Washington, .",1
"Dow soars more than 1050 points, its biggest point gain in history . ",1
Market Swings Are Becoming New Standard,1
"The stock market's gains for 2018 were erased on Tuesday, as a sell-off .  [Read how the stock market's slide is flashing warning signs about the economy.] .  It's a Sunday newsletter with essential business insights that'll prep . ",-1
Whiplash on Wall Street as Tension About Global Economy Mounts,-1
Gap shares surge 24 percent as Wall Street praises split,1
A Green Light for Banks to Start ‘Redlining’ Again,1
"Falling stock prices are a signal of falling confidence in the economy, and when investors pull money out of stocks, they seek safer asset classes such as bonds.",-1
But that doesn't mean a Trump presidency will be good for the economy. .  Buying stock in a company entitles the owner to a percentage of present and future .,-1
Mexico's government on Friday threatened to slap duties on new U.S. products in retaliation for the Trump administration's steel and aluminum tariffs as it seeks to turn up pressure on Washington to exempt it from the measures.,-1
"Although Prime Minister Justin Trudeau praised the agreement as a win for Canada, economists painted a more complex picture of some of its potential impact.",-1
Jerome Powell Tries a Nuanced Fed Policy. Markets Don’t Like It.,-1
"Wall Street Baffled by Slowing Economy, Low Yields: Trader",-1
"With money market and CD rates at record low levels and sluggish economic, .  Yes, companies with business that continue to grow even in recessions like .",-1
Amazon plans new grocery-store business: WSJ,1
Buffett on stocks: 'Look at them as a business',1
Fendi attempts to address the Italian national youth unemployment crisis by luring a new generation into becoming traditional artisans.,-1
Disinvestment effect on PSU stocks: Should investors stay put?,-1
"Ahold Delhaize, which operates supermarkets in Europe and the United States, is on track to meet a 20 percent U.S. online sales growth target this year as it opens automated grocery distribution points along the East Coast, its chief executive said on Wednesday.",1
"Dow, buoyed by tech stocks, climbs back from big loss",1
U.S. Job Gains Show Employers Shrugged Off Government Shutdown,1
"Argentina’s central bank raised interest rates, trying to halt a plunge in the value of the peso. The turmoil led to a sell-off in other emerging-market currencies.",-1
The central bank's action followed a global stock market rout in which China led the .  “But fundamentally the overall stability of the Chinese economy has not .,-1
"But within a year and a half, the area's manufacturing economy was .  dire, and whiplashing, the business cycle has been the opposite—steady, positive, and .",1
"“Over recent years, equity prices have been a fairly reliable and timely guide to the performance of the real economy,” said experts at Capital Economics.",-1
"In Striking Shift, Small Investors Flee Stock Market",-1
Why Does the Stock Market Keep Going Up?,1
So at least part of the solution to our current epidemic of business disinvestment must be to discourage this sort of stock manipulation by going back to the .,-1
"Legal insider trading is when corporate insiders—officers, directors, and employees—play by the rules when they buy and sell stock in their own company.",1
Government Shutdown Shakes Stability of Jobs That Are Often the Best Around,-1
"U.S. auto sales seen falling 1 percent in Dec - J.D. Power, LMC",-1
"U.S. lawmaker seeks Boeing whistleblowers, some MAX 737 orders in jeopardy",-1
"Kotak Mahindra Bank is one of the best stocks to trade today on the long side."" .  developers, managing large business parks are the key catalysts for the stock.",1
"The ranks of U.S. public companies grew last year for the first time since the go-go days of the Internet boom, getting a long-awaited boost from an expanding economy and renewed investor interest in U.S. stocks.",1
"Most local stocks closed higher Friday, allowing the main-share index to climb back to 4,300 as investors found relief in fresh signs of an improving American .",1
"Sell everything ahead of stock market crash, say RBS economists",-1
"Tesla debuts $35,000 Model 3, sees loss in first quarter",-1
"The Fed, as expected, did not raise interest rates at its meeting that ended on Thursday but indicated another increase is still expected in December.",-1
"A map of the counties targeted by China, Mexico, Canada and the European Union in a trade war looks strikingly similar to a map of the 2016 presidential election.",-1
Stock market at crossroads after strongest quarterly rise in a decade,-1
"When the pros and cons for stocks and the economy over the next year or two are weighed, the risks appear to be dominant, our columnist says.",-1
"A rising chorus blames Airbnb, Uber and other internet-enabled travel conveniences for a boom that threatens a sustainable balance.",-1
U.S. Energy Secretary Rick Perry promised on Thursday to promote cross-border electricity trade and investment with Mexico and said he expected talks aimed at updating the North American Free Trade Agreement (NAFTA) to proceed quickly.,1
"With millions of people filing tax returns under a new tax law and after a long government shutdown, this is a challenging year. We offer survival tips and extensive coverage.",-1
"US stocks rise: Less on Fed chatter, more on economy .  it had fired executive chairman George Zimmer, the company's founder and star of its TV commercials, .",1
"A Paris court fined French oil and gas group Total 500,000 euros ($570,000) on Friday for bribing foreign public officials in a case related to Iranian contracts in 1997.",-1
"The Week in Business: Let the Apple vs. Facebook Battle Begin, and China Goes Soybean Shopping",-1
Tesla's store-shuttering strategy may pull the rug out of solar,-1
Goldman says the US economy has 'sharply decelerated' but these . ,-1
U.S. adds criminal charges against ex-Autonomy CEO Lynch,-1
Stocks fell around the world after the arrest of a top Chinese technology .  increasingly see as a threat to financial markets and the economy.,-1
"Billionaire Ron Baron says the stock market and economy will double in 13 years .  said Baron, whose company has $23 billion in assets under management.",1
Indian regulator orders J&J to stop using raw material to make Baby Powder in India,-1
China Sees Hints of a Past Threat: Inflation,-1
"State-run Food Corporation of India (FCI) held foodgrain stock of 46 million .  According to the buffer norm, the FCI was required to keep a stock of 30.77 mt of .",1
"The Dutch government's decision to increase its stake in Air France KLM was both ""incomprehensible"" and unexpected, said French Finance Minister Bruno Le Maire on Wednesday.",-1
"Jerome H. Powell, the Federal Reserve chairman, also said that if asked to resign by President Trump, he would refuse.",-1
"Ford recalling 874,000 pickup trucks in North America for fire risks",-1
10 years after stocks hit bottom: What we learned and what we still don . ,1
"European and US stock markets have suffered more large falls, led by steep declines .  Mr Berlusconi and economy minister Giulio Tremonti met business and .",-1
"The Standard & Poor's 500-stock index was off 2 percent. .  in future order rates could call into question if we are peaking in economic growth, . ",-1
That's about as much as the company bought in the first half of the year. .  worried his new purchases will be caught up in a 'double-dip' for the U.S. economy.,-1
Concerns about the health of the world economy heightened last week after remarks by the US Federal Reserve indicated that it would not . ,-1
"(More:How to Get a Piece of Mexican Stocks). As a result, Mexico has grown to be the 13th largest economy in the world — $2.4 trillion — and the 11th in .  to Mexico and currently chairman of Vianovo Ventures, a business development firm.",1
"The report from the Commerce Department on Friday also showed price pressures muted in January, with a measure of overall inflation posting its smallest annual increase in nearly 2-1/2 years.",-1
Will 2013 Be the 'Break-Out' Year for China Stocks?,-1
Stocks end higher as US economy continues to improve,1
China Pours $218 Billion Into the Economy as Growth Slows,-1
Exchange Rate Risk: Economic Exposure,-1
India's growth may decelerate further despite election spending,-1
"Bad for the economy, bad for business, and surprisingly unfavorable to investors. .  Shareholders in large, publicly traded firms got their stock by buying it from .",-1
Nike shares rise as strong quarterly results allay China demand concerns,1
"Behind Tech’s Shine, Some Warnings Signs Appear",-1
Top 10 intraday and long-term bets to beat volatility,1
Economy Is Strong. Leadership Is Shaky. Which Will Win Out in 2019?,-1
Dealmakers brace for slowdown after third-strongest M&A year,-1
Trump rally: Stocks put 2017 in the record books,1
ANALYST: There's A Big Red Flag In The Economic Data That Could .,-1
Hong Kong (CNN Business) Worries over slowing economic growth are .  Fears about a severe global economic slowdown hit stocks in . ,-1
"The bond market smells a recession. On Friday, stock investors caught a whiff, too. Economic forecasters and Wall Street traders have been . ",-1
A Tale of Two Stocks: Apple and Coke in China,1
"Lyft's Shares Jump in Trading Debut, Cementing Rise of the Gig . ",1
"Stock markets in the region suffered. .  With business conditions expected to get worse before they get better, China is expected to roll .  “This data confirms our view that the economy is weak and that stimulus needs to arrive . ",-1
"UK business investment slide, but trade war optimism boosts stocks . . despite lingering concerns over the health of the global economy.",1
Sunrise in advanced talks for Liberty Global's $6.3 billion Swiss unit,1
"Government Shutdown Cost U.S. Economy $11 Billion, C.B.O. Says",-1
"Not only did the economy barely add any jobs in June, but also previously optimistic figures were revised downward. Although there is virtually no company that .",-1
"The latest divergence in economic data may be setting up the stock market for a ""nasty New Year surprise,"" says Andrew Wilkinson. Wilkinson, the chief .",-1
5 Stocks Growing Steadily Despite a Weak Economy,1
"Ambani was giving his acceptance speech at the Economic Times Awards for Corporate Excellence, where he won the 'Business Leader of the Year' award, the .",1
Be Like Warren Buffett: Sell Put Options,-1
Tesla's Musk calls SEC 'broken' in new Twitter spat,-1
Climate Change’s Giant Impact on the Economy: 4 Key Issues,-1
"Homeowners and businesses will have to pay more for lumber, steel, aluminum and other materials because of President Trump’s trade policy.",-1
"China, the world's top oil importer, is set to start 2019 buying little or no crude from the United States despite a three-month truce in a trade scrap between the two nations, with relatively high freight costs and political uncertainty choking demand.",-1
"If you look at the economy, it grows over time. Not at a steady rate, but it grows over time. And markets, particularly the stock market, reflects that. In other words, if .",1
The Total Economy Portfolio,-1
How the Big Bang changed the City of London for ever,1
"Trump's agenda, mainly tax reform and cuts to business regulations, has lifted business confidence. Meanwhile, economic growth has accelerated. GDP has .",1
"U.S. authorities are investigating a fatal Tesla Inc Model S crash in Florida last Sunday that killed the driver and caused a massive fire, the second fatal Tesla crash in the state this week being probed, the National Highway Traffic Safety Administration (NHTSA) said on Saturday.",-1
"Germany and France Renew Their Vows, but Challenges Abound",-1
"Stocks on Wall Street dropped again Friday, pushing the S&P 500 into .  the chief financial officer of Huawei and a daughter of the company's . ",-1
"Day after day, stocks swing sharply by hundreds of points. .  where the economy is heading — and canny investors could profit from the big swings, or simply sit .",1
U.S. energy secretary in Mexico eyes cooperation,1
"Stocks around the world tumbled in volatile trading on Monday, leaving investors to .  Concerns about China's ability to be a powerful engine of global economic .",1
"Egypt's stocks declined amid a wave of selling by foreign and Arab investors, driving .  last year, the company announced on its official website on Wednesday.",-1
Nobel Prize winner warns of US stock market bubble,-1
"Eventually the confidence boost in the markets and economy due to Trump's .  the short term, ill-advised trade policy won't be good for the economy or markets.",-1
Global stocks fell on Thursday as investors worried about the health of the global economy given the Federal Reserve's cautious stance about raising its interest .,-1
American Airlines said Sunday it will extend flight cancellation through April 24 because of the grounding of the Boeing 737 MAX after two fatal crashes since October and cut some additional flights.,-1
"Also, the Fed makes a surprising announcement, and the true cost of the government shutdown.",-1
Nasdaq confirms bear market; economic worries sink Wall Street,-1
Sales are booming at major chains that have taken cues from their giant online rival — signs of a revival in a $3.5 trillion industry.,1
"Specifically, it said that its QE program had boosted the value of stocks and bonds .  who already own homes, but passing little along to the rest of the economy.",1
China's HNA in talks to sell Ingram Micro to Apollo Global: source,-1
"Growth in China’s increasingly important services sector accelerated in December at its fastest pace in four months, adding to signs of a modest year-end revival in the world’s second-largest economy.",1
"U.S. personal income fell for the first time in more than three years in January and consumer spending dropped by the most since 2009 in December, putting the economy on a weak growth path early in the first quarter.",-1
"The hottest tech stocks are a textbook example of an overheated, unsustainable .  It was a new paradigm of a likely extended period of uninterrupted economic .",1
"Canada PM speaks to Trump about tariffs, sources see little progress",-1
New York: US stocks ended higher as investors continued to keep a .  trade updates and digested a batch of encouraging economic data.,1
[Federal Reserve cuts its outlook for U.S. economy; stocks plunge] .  of U.S. investors and business leaders and caused the Dow to shed more . ,-1
The other half of the economy is represented through private businesses. This means the stock market in its entirety is an incomplete reflection of economic .,-1
"Defying Erdogan, Turkey’s Central Bank Raises Interest Rates",-1
U.S.-China trade: tariff and non-tariff barriers,1
"Investors dumped Turkish bonds and stocks on Wednesday after the .  But the global economy is slowing, central banks have shelved plans to raise . . He said decisions by banks on liquidity were business-based and in line . ",-1
I.R.S. Tax Fraud Cases Plummet After Budget Cuts,-1
Mark Cuban Predicts a Stock Market Crash if Trump Wins the White .,-1
7 Stocks to Profit From Cuba's Coming Boom,1
"Blue chip stocks, named after the highest-valued chips in poker, are prized investment .  representing ownership in some the most successful firms in the economy. .  Blue chips are supported by proven business models, slow but consistent .",1
"In the barely inhabited steppes of Central Asia, it is establishing the next foothold in its trillion-dollar campaign to transform global infrastructure.",1
China's business landscape has also undergone a transformation. .  productivity growth — the ability to get greater output from existing labor and capital stocks.,1
"Foiled in reversing a policy change from the Obama era, the agency will try again to limit companies’ responsibility for franchisees and contractors.",1
"Summer Winds Down, and Big Tech Is Called Before Congress",1
"What Is a Recession, and Why Are People Talking About the Next One?",-1
Norway's Aker BP switching gears from M&A to exploration,-1
Are the Green Bay Packers the Worst Stock in America?,1
"Everyday there are bloggers and freelancers writing for business news sites. .  In 2013, $130 billion in stock value was wiped out in a matter of minutes following .",-1
"Qatar, China, Japan sought 'extras' after Barclays 2008 fundraising: court",-1
A global rally in stocks came to an abrupt halt Thursday as a 7% plunge on Japan's Nikkei index .  Investors were rattled by weak economic data from China and indications that the U.S. .  Related: Eurozone business still going backwards.,-1
Taking an aggressive stance with traditional allies now seems to be just a warm-up for the main event: isolating China.,-1
"Buffett on stocks: 'Look at them as a business' .  ""The economy, since the fall of 2009, has been increasing at a pretty steady rate,"" Buffett said. ""People have .",1
"The stock market rally that began last summer was fueled by the Fed's efforts which improved U.S. .  ""A stronger economy helps smaller businesses,"" he said.",1
"Even Without Amazon, Tech Could Keep Gaining Ground in New York",1
"In Japan, where petrol demand is waning because of the stalling economy, .  that as a result producers were ""pursuing business opportunities overseas"".",-1
Polls Show Government Shutdown Is Eroding Faith in Economy,-1
China's 'Black Monday' sends markets reeling across the globe - as it .,-1
"The European Commission told Rome that it would have to rewrite its draft 2019 budget and reduce its deficit, or face heavy fines early next year.",-1
STOCKS TSX rises as material stocks rally,1
"Overstock Delays E-Commerce Business Sale, Deferring Cash for . ",-1
"How would you like to go into the insurance business, collecting premiums for .  The product in question is crash insurance, which pays out if stocks take a dive. .  European banks are falling apart, our own economy remains sickly, and .",-1
Both sides said “progress” had been made in the talks but deep disagreements remain ahead of the March deadline set by leaders of both countries.,-1
"One question people might be asking is, what took so long?",-1
"Stocks sank on Tuesday, as President Trump threatened China with further tariffs, just .  strategist at the brokerage firm William O'Neil & Company. .  The economy is on pace for its best year since 2005, unemployment is near . ",-1
"Bank stocks reacted positively on Tuesday, led by Morgan Stanley, up nearly 6 .  Goldman is drumming up business with new companies and . ",1
CVS Health Corp. shares fell after revenue of $54.42 billion was short of expectations and the company's adjusted earnings per share for fiscal . ,-1
Ireland bail-out: stocks rise after bail-out accepted,1
Moves like Mnuchin’s phone calls to bank C.E.O.s could create a broader crisis of confidence.,-1
Lyft IPO Gives Major Indexes A Lift; Chinese Stocks Jump On Trade . ,1
Tracking the Dow One Year After Rock Bottom,-1
"Exclusive: Apollo bets on Clearway Energy, defying PG&E bankruptcy fallout",-1
"Ford Motor Co. and Caterpillar Inc. slumped at least 8.3 percent, pacing losses in stocks most-tied to the economy. Chevron Corp. dropped 7.5 percent as oil slid .",-1
"Volkswagen said on Wednesday it had struck a deal with Microsoft to cooperate on cloud computing in China and the United States, as part of its drive to offer connected vehicle services across the globe.",1
"Amazon defied expectations by splitting its second headquarters into two locations. For the internet company, it seems to be working out rather nicely.",1
"The idea was to encourage more economic activity by lowering interest rates, .  to finance consumer and business lending, which gets under way this week.",1
How the Canadian economy – and stock market – can outperform,1
"The value of all U.S. stocks had dropped from a peak of $22 trillion to $9 trillion, .  Now we have to price in ongoing businesses,"" and investors are not giving corporate .  ""Do we have a massive slowdown in the economy when the cover of the .",-1
Banks are preparing for an 'economic nuclear winter',-1
U.S. markets received a clear warning of coming recession on Friday when the spread between yields on three-month Treasury bills and 10-year notes fell below zero for the first time since 2007 after U.S. manufacturing data missed estimates.,-1
"Volkswagen's flagship VW brand missed its margin target in 2018 as operating profits declined despite growth in top-line revenues at the German carmaker, news weekly Spiegel reported on Friday, citing unpublished figures.",-1
An embargo is a complete or partial block of trade and business activities .  will use embargoes to effect complete economic isolation on another nations. Today .,-1
"BNP Paribas to cut up to 2,500 jobs at its Belgian bank",-1
Jaguar Land Rover to announce major UK investment: BBC,1
Wall Street's roller-coaster ride extended into Thursday with stocks staging a .  They are trying to assess the prospects for economic growth and . ,1
The Economy and Stocks: A Big Disconnect,-1
"BEIJING — China is trying hard to revive interest in its ailing stock market, but some .  Interest from collectors like Kou has made walnuts big business for merchants like .  said Mark Williams, an economist with Capital Economics in London.",1
Apple's predictions about its business are weaker than expected. .  A slowing Chinese economy means consumers aren't as willing or able to pay Apple's steep .,-1
"The American economy added 134,000 jobs in September, the Labor Department said, and unemployment fell to 3.7 percent.",1
"Qatar Airways said on Wednesday that it had decided not to go ahead with routes to some planned destinations following a Gulf boycott, particularly in West and Central Africa, the company said in a Twitter post.",-1
Economic growth at risk when natural assets are degraded or depleted,-1
How Monetary Policy Affects Your Investments,-1
Hong Kong and China stocks shoot up after Beijing vows tax cuts to . ,1
Explainer: Arrested again: What are the new allegations against Nissan's Ghosn?,-1
‘Overtourism’ Worries Europe. How Much Did Technology Help Get Us There?,-1
This exposure arises from the effect of currency fluctuations on a company's .  the company due to these currency fluctuations and the stock has declined 7% in .,-1
"A December gain of 312,000 jobs sent stocks up more than 3 percent, and the Federal Reserve chairman offered soothing words on the central bank’s plans.",1
"U.S. consumer spending, factory data point to weak first quarter GDP growth",-1
"Bangladesh will collect and test samples of Johnson & Johnson's Baby Powder for asbestos in a couple of days, its main testing authority said on Friday, after a Reuters report last Friday that the firm knew for decades that cancer-causing asbestos could be found in the product.",-1
"The important monthly jobs report comes after a sloppy period for stocks, but ahead of the .  Strong areas of hiring included professional and business services, .",1
Boeing trade complaint won't slow CSeries deliveries: Delta CEO,1
"The industry sold more than 17 million vehicles for the fourth straight year. But it is relying more on fleet sales, and economic winds are not favorable.",-1
"The rally continued in Asia, led by Japan, where stocks on Thursday .  to climb thanks to the underlying strength of the American economy.",1
" If you put your money in stocks in 2014, you were a savvy investor. The Dow finished the year up 7.5%, the S&P 500 rose 11.4%, and the tech-heavy Nasdaq soared 13.4%.",1
Kosovo's Economy Still Struggling Five Years After Independence,1
Turkish stocks tumble as crackdown on lira speculation spooks . ,-1
"Netflix (NFLX) stocks tumbled on Tuesday after news that the company had lost over 800,000 subscribers, many of whom were angered by an abortive attempt .",-1
Look How Skyscrapers Have Predicted Recession Through History,-1
Argentina’s Peso Tumbles as Turbulence in Emerging Markets Spreads,-1
Foxconn to build $9 billion chip plant in China with local govt: Nikkei,1
"Oil rises 2 percent as U.S. crude stocks plunge, OPEC brushes off Trump",1
How shareholders jumped to first in line for profits,1
"U.S. stocks shot up on Monday after the prospects for an imminent U.S. attack on Syria began to fade, while sentiments that Federal Reserve stimulus measures may stay in place boosted spirits as well.",1
Wall Street tumbles on global economic slowdown fears,-1
How The Fed Is Helping To Rig The Stock Market,1
"Industrial stocks: A big bet on economic growth .  ""When they can start moving more product, the overall cost of the business decreases, and that increases .",1
Anything that makes people more anxious and uncertain about the future has a negative effect on business and on stocks. The bombing occurred shortly before .,-1
"No, what this deal underscores is just what a dog the stock trading business has become. And that seems to be a ubiquitous theme on Wall Street with major .",-1
The AP said its Twitter account was hacked and stocks quickly bounced back. .  Eyes on the economy: Earnings have been in focus this week as investors grasp .,1
"Italy and E.U. Reach a Budget Deal, as Populist Plan Runs Into Reality",-1
Exclusive: Huawei plans billions in dividends for staff despite row with U.S. - sources,1
"With the elections in the rearview mirror, Wall Street can focus on gridlock and interest rates — and maybe impeachment and a recession.",-1
"China's Economy, in Six Charts",1
"Renewed economic uncertainty is testing Americans' generation-long love affair .  first seven months of this year, according to the Investment Company Institute, .",-1
"A popular one is whether aging baby boomers will tank the stock market. .  Many of the economic models that show decreased demand resulting in lower stock .  prices is as reflecting the discounted value of future cash flows of a company, .",-1
"Since De Beers abandoned its decades-old policy of refusing to sell lab-grown diamonds as jewelery, the price gap between man-made stones and natural gems has widened - and the difference is set to get even bigger.",-1
"Japan led the decline, though stocks fell broadly across Asia. .  European markets, which fell on Friday after some dour economic news, lost . ",-1
It's too early to say whether stocks have recovered from a recent slump that sent .  The company also raised its earnings forecast because of share repurchases.,1
Ahold says on course to meet U.S. online sales growth targets,1
President Xi Jinping kicks off a Shanghai event showing a growing Chinese appetite to buy from the rest of the world. Even critics of the U.S. have doubts.,-1
The Dollar Is Still King. How (in the World) Did That Happen?,1
"(CNN) -- Stocks on key Asian exchanges dropped modestly early Monday on what is .  financial stability and economic growth,"" G7 finance ministers and central .",-1
"The idea behind the company is simple: Provide a venue for investors who want to buy or sell stocks where sophisticated high-frequency traders, who can make .",1
Preserving the Wealth That Conservation Built,1
"Faced with a choppy stock market and fears of an economic downturn, Uber and Lyft are moving toward the public markets as other private tech companies also get ready.",-1
While Australian equities markets represent a chunk of the Australian economy – Australian companies with Australian business employing Australians – the .,-1
"The rates on capital gains — which include profits from the sale of stocks, bonds .  rate say it spurs more investment in the U.S. economy, benefiting all Americans. . . taxes across the board for workers, small-business people and job creators,” .",1
"Come On, Bill Gross! Please Stop Insulting People And Fix Your Mistake!",-1
"And the broad economic forces driving Boeing's gains are lifting the earnings at .  The company reported an order backlog that totaled 5,700 aircraft, or about .",1
"Pinterest Inc, the owner of the image search website known for the food and fashion photos that its users post, filed for an initial public offering with U.S. regulators on Friday, looking to tap into a red-hot market for new stock offerings.",1
Stocks can be your best hedge against inflation,1
U.S. Economy Grew at 4.6% Rate in Second Quarter,1
"NEW DELHI: Agriculture happens to be the engine of India's economic growth and .  trend setback for most of the agricultural-based stocks and once the fear subsides, they . . Above 25% of total revenue comes from this segment of business.",1
MORGAN STANLEY: Here Are 42 Stocks That'll Thrive Even If The .,1
7 Great Growth Stocks Based in Israel,1
"The U.S. economy is regaining traction as the year winds down, boosted by an accelerating business sector and a modest pickup among consumers.",1
"E.C.B., at Latest Meeting, Highlights Risks From Trade War",-1
"China's Huawei is set to reward employee shareholders with a 3 percent rise in cash dividends that are worth billions of dollars, according to company sources and Reuters calculations - a move expected to boost morale as it battles a U.S.-led drive against its telecom gear.",1
GE CEO says company needs to reduce debt 'thoughtfully and soon',-1
What Crushed Noodles & Company's And Shake Shack's Stocks,-1
The Chinese central bank’s move is intended to send a signal that Beijing is ready to stem a slowdown that has darkened the global outlook.,-1
"In a tacit acknowledgment that Mr. Trump has shaken the international trading system, G20 officials sought to reduce tensions.",-1
Dow falls more than 200 points after Boston explosions,-1
"The Canadian economy grew by a surprise 0.3 percent in January, reversing recent declines as the construction and manufacturing sectors picked up, and likely leaving the Bank of Canada on the sidelines over the coming months.",1
"In a satirical new novel, a former Google executive identifies the technology industry’s chief issue: its narrow engineering-focused bubble.",-1
"By Jamie Robertson Business reporter, BBC News .  it was extraordinary,"" says Mr Haynes who used to work on the floor of the London Stock Exchange, and is .",1
Wall St. edges lower in choppy session,-1
Stocks around the world fell and U.S. Treasuries yields sent warning signals for a possible recession on Friday after weaker-than-expected U.S. and European data intensified fears of a global economic slowdown.,-1
The stock market in particular is at risk of hitting a major breakpoint. .  an implosion of the whole stock market structure or the global economy itself. .  it through a breakpoint; the survival rate is even worse for new businesses and technologies.,-1
The attack punctuated a week of deadly violence in the capital and struck at the core of the country’s deteriorating economy.,-1
Trump's misplaced economic policies could sink the US economy next . ,-1
"After six months of strong growth, the economy is on track for its best annual performance since 2005. But there were signs of a slowdown ahead.",-1
"Raj Rajaratnam, hedge fund billionaire, gets 11-year sentence for .",-1
"According to Gallup's annual Economics and Personal Finance survey, which .  the S&P 500 will all be in the double digits for the first time this business cycle"".",1
"BNP Paribas reached an agreement with unions over a plan to cut as many as 2,500 jobs at its Belgian retail banking unit by 2021 as part of an effort to bring down costs.",-1
Basics of Banking: Loans Create a Lot More Than Deposits,-1
"In foreboding sign for U.S. economy, factory sector softens",-1
"S&P 500 e-minis logged their biggest losing streak in seven years on Friday, dropping about 0.6 percent on growing worries of slowing global growth and the threat of a U.S. government shutdown.",-1
Rising tariffs could lead Chinese buyers to look for alternatives to American products. But Australia could suffer if the conflict slows China’s growth.,1
"Despite his tough talk, President Trump has not fundamentally altered America’s approach to trade. But that could change, and future increases in tariffs could be very costly to the United States.",-1
"Mr. Panarin posits, in brief, that mass immigration, economic decline, and moral degradation will trigger a civil war next fall and the collapse of the dollar. Around .",-1
Why Wall Street Is A Key Player In The World's Economy,1
Graph of the day: Who benefits from a stock-market boom?,1
Complex Mega-Companies Dominate South Korea's Stock Market,1
Hot-rolled mess: China's steelmakers hit the skids as car sales slow,-1
